date,month,day,year,J_Date,site,baysite,bay,species,length
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,45
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,49
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,50
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,50
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,51
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,52
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,52
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,52
7/5/2018,July,5,2018,186,1,Ugak-1,Ugak,pink salmon,53
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,54
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,54
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,55
7/5/2018,July,5,2018,186,1,Ugak-1,Ugak,pink salmon,56
7/5/2018,July,5,2018,186,1,Ugak-1,Ugak,pink salmon,56
7/5/2018,July,5,2018,186,2,Ugak-2,Ugak,pink salmon,56
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,56
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,56
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,58
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,60
7/5/2018,July,5,2018,186,6,Ugak-6,Ugak,pink salmon,60
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,61
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,61
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,61
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,61
7/5/2018,July,5,2018,186,1,Ugak-1,Ugak,pink salmon,62
7/5/2018,July,5,2018,186,1,Ugak-1,Ugak,pink salmon,62
7/5/2018,July,5,2018,186,3,Ugak-3,Ugak,pink salmon,62
7/5/2018,July,5,2018,186,1,Ugak-1,Ugak,pink salmon,65
7/5/2018,July,5,2018,186,1,Ugak-1,Ugak,pink salmon,70
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,48
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,51
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,52
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,52
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,52
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,52
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,53
7/7/2018,July,7,2018,188,7,Kilu-1,Kiliuda,pink salmon,54
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,54
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,55
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,57
7/7/2018,July,7,2018,188,7,Kilu-1,Kiliuda,pink salmon,58
7/7/2018,July,7,2018,188,7,Kilu-1,Kiliuda,pink salmon,58
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,58
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,58
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,59
7/7/2018,July,7,2018,188,8,Kilu-2,Kiliuda,pink salmon,60
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,60
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,60
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,61
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,61
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,61
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,62
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,62
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,62
7/7/2018,July,7,2018,188,7,Kilu-1,Kiliuda,pink salmon,63
7/7/2018,July,7,2018,188,8,Kilu-2,Kiliuda,pink salmon,63
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,63
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,63
7/7/2018,July,7,2018,188,8,Kilu-2,Kiliuda,pink salmon,64
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,64
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,65
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,65
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,65
7/7/2018,July,7,2018,188,8,Kilu-2,Kiliuda,pink salmon,66
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,66
7/7/2018,July,7,2018,188,13,Kilu-7,Kiliuda,pink salmon,67
7/7/2018,July,7,2018,188,7,Kilu-1,Kiliuda,pink salmon,68
7/7/2018,July,7,2018,188,10,Kilu-4,Kiliuda,pink salmon,68
