Bay,Date,Month,Day,Year,J_date,set,Site,Species,Length,weight,hatch.wild,oto.read,hatch.site,freezer.num,origin.certain,Fultons.K
Kiliuda,5/12/2023,May,12,2023,132,462,Kil-2,pink salmon,27,0.2057,wild,n,.,.,y,1.05
Chief Cove,5/11/2023,May,11,2023,131,453,CH-1,pink salmon,28,0.1793,wild,n,.,.,y,0.82
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,29,0.1959,wild,n,.,.,y,0.80
Kiliuda,5/12/2023,May,12,2023,132,462,Kil-2,pink salmon,29,0.197,wild,n,.,.,y,0.81
Kiliuda,5/12/2023,May,12,2023,132,458,Kil-6,pink salmon,29,0.2016,wild,n,.,.,y,0.83
Agripina,7/4/2022,July,4,2022,185,386,.,pink salmon,30,0.1469,wild,y,.,22-61,y,0.54
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,30,0.1852,wild,n,.,.,y,0.69
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,30,0.1929,wild,n,.,.,y,0.71
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,30,0.1985,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,30,0.199,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,30,0.1996,wild,n,.,.,y,0.74
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,30,0.2113,wild,n,.,.,y,0.78
Kiliuda,5/12/2023,May,12,2023,132,461,Kil-3,pink salmon,30,0.166,wild,n,.,.,y,0.61
Kiliuda,5/12/2023,May,12,2023,132,462,Kil-2,pink salmon,30,0.1718,wild,n,.,.,y,0.64
Kiliuda,5/12/2023,May,12,2023,132,460,Kil-4,pink salmon,30,0.1885,wild,n,.,.,y,0.70
Kiliuda,5/12/2023,May,12,2023,132,462,Kil-2,pink salmon,30,0.2166,wild,n,.,.,y,0.80
Rodman Reach,5/17/2022,May,17,2022,137,349,RR-3,pink salmon,31,0.1917,wild,n,.,.,y,0.64
Cook,5/19/2022,May,19,2022,139,356,EG West,pink salmon,31,0.1858,wild,n,.,.,y,0.62
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,31,0.298,wild,n,.,.,y,1.00
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,31,0.199,hatchery,n,Kitoi-KRAA,.,y,0.67
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,31,0.2038,hatchery,n,Kitoi-KRAA,.,y,0.68
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,31,0.1936,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,31,0.1954,wild,n,.,.,y,0.66
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,31,0.209,wild,n,.,.,y,0.70
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,31,0.21,wild,n,.,.,y,0.70
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,31,0.212,wild,n,.,.,y,0.71
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,31,0.2241,wild,n,.,.,y,0.75
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,31,0.226,wild,n,.,.,y,0.76
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,31,0.25,wild,n,.,.,y,0.84
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,31,0.2747,wild,n,.,.,y,0.92
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,31,0.2459,wild,n,.,.,y,0.83
Chief Cove,5/11/2023,May,11,2023,131,455,CH-4,pink salmon,31,0.3219,wild,n,.,.,y,1.08
Chief Cove,5/22/2022,May,22,2022,142,362,CH-4,pink salmon,32,0.2636,wild,n,.,.,y,0.80
Kiliuda,5/24/2022,May,24,2022,144,369,Kil-2,pink salmon,32,0.2565,wild,n,.,.,y,0.78
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,32,0.2071,hatchery,n,Kitoi-KRAA,.,y,0.63
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,32,0.2378,hatchery,n,Kitoi-KRAA,.,y,0.73
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,32,0.2396,hatchery,n,Kitoi-KRAA,.,y,0.73
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,32,0.2458,hatchery,n,Kitoi-KRAA,.,y,0.75
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,32,0.253,hatchery,n,Kitoi-KRAA,.,y,0.77
Kitoi,5/11/2023,May,11,2023,131,.,Pen1-36,pink salmon,32,0.2701,hatchery,n,Kitoi-KRAA,.,y,0.82
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,32,0.1802,wild,n,.,.,y,0.55
Rodman Reach,5/9/2023,May,9,2023,129,449,RR-3,pink salmon,32,0.1829,wild,n,.,.,y,0.56
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2077,wild,n,.,.,y,0.63
Rodman Reach,5/9/2023,May,9,2023,129,450,RR-1,pink salmon,32,0.2136,wild,n,.,.,y,0.65
Rodman Reach,5/9/2023,May,9,2023,129,451,.,pink salmon,32,0.2196,wild,n,.,.,y,0.67
