Location,Date,year,Set_num,Site,Species,Length,Weight,freez_samp_num,hatchery_wild,oto_read,hatchery_site
Agripina,7/5/2021,2021,282,.,pink salmon,70,3.5,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,61,2.3,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,64,2.5,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,70,3.6,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,69,3.3,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,49,1.2,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,68,3.3,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,74,3.7,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,68,2.9,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,61,2.1,NA,unknown,.,.
Agripina,7/5/2021,2021,282,.,pink salmon,57,1.8,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,63,2.3,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,56,1.8,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,77,4.1,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,64,2.4,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,47,0.9,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,66,3.1,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,76,3.9,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,65,2.6,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,64,2.4,NA,unknown,.,.
Agripina,7/5/2021,2021,280,.,pink salmon,58,1.8,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,72,4.2,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,66,2.7,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,72,3.8,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,71,3.4,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,65,2.8,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,66,2.6,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,68,3.0,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,72,3.8,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,59,1.9,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,61,2.1,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,62,2.2,NA,unknown,.,.
Agripina,7/5/2021,2021,279,.,pink salmon,64,2.7,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,55,1.7,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,64,2.9,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,51,1.4,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,60,2.3,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,70,3.2,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,71,3.6,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,74,3.5,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,65,2.4,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,68,2.9,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,50,1.1,NA,unknown,.,.
Agripina,7/5/2021,2021,278,.,pink salmon,64,2.8,NA,unknown,.,.
