date,month,day,year,station,site,bay,species,cpue,,,,
7/16/2018,7,16,2018,32,AG-1,Agripina,pink salmon,59,,,,
7/16/2018,7,16,2018,33,AG-2,Agripina,pink salmon,79,,,,
7/16/2018,7,16,2018,34,AG-3,Agripina,pink salmon,0,,,,
7/16/2018,7,16,2018,35,AG-4,Agripina,pink salmon,0,,,,
7/16/2018,7,16,2018,36,AG-5,Agripina,pink salmon,25,,,,
7/16/2018,7,16,2018,37,AG-6,Agripina,pink salmon,309,,,,
8/15/2018,8,15,2018,92,AG-1,Agripina,pink salmon,14,,,,
8/15/2018,8,15,2018,93,AG-2,Agripina,pink salmon,0,,,,
8/15/2018,8,15,2018,94,AG-4,Agripina,pink salmon,0,,,,
8/15/2018,8,15,2018,95,AG-3,Agripina,pink salmon,1,,,,
8/15/2018,8,15,2018,96,AG-5,Agripina,pink salmon,11,,,,
8/15/2018,8,15,2018,97,AG-6,Agripina,pink salmon,11,,,,
7/7/2019,7,7,2019,131,AG-1,Agripina,pink salmon,3,,,,
7/7/2019,7,7,2019,132,AG-2,Agripina,pink salmon,0,,,,
7/7/2019,7,7,2019,133,AG-5,Agripina,pink salmon,0,,,,
7/7/2019,7,7,2019,134,AG-3,Agripina,pink salmon,0,,,,
7/7/2019,7,7,2019,135,AG-4,Agripina,pink salmon,0,,,,
7/7/2019,7,7,2019,136,AG-6,Agripina,pink salmon,0,,,,
7/6/2020,7,6,2020,207,AG-1,Agripina,pink salmon,4,,,,
7/6/2020,7,6,2020,208,AG-2,Agripina,pink salmon,5,,,,
7/6/2020,7,6,2020,209,AG-5,Agripina,pink salmon,4,,,,
7/6/2020,7,6,2020,210,AG-3,Agripina,pink salmon,0,,,,
7/6/2020,7,6,2020,211,AG-4,Agripina,pink salmon,0,,,,
7/6/2020,7,6,2020,212,AG-6,Agripina,pink salmon,3,,,,
7/5/2021,7,5,2021,278,AG-1,Agripina,pink salmon,30,,,,
7/5/2021,7,5,2021,279,AG-2,Agripina,pink salmon,102,,,,
7/5/2021,7,5,2021,280,AG-3,Agripina,pink salmon,291,,,,
7/5/2021,7,5,2021,281,AG-4,Agripina,pink salmon,0,,,,
7/5/2021,7,5,2021,282,AG-5,Agripina,pink salmon,258,,,,
7/5/2021,7,5,2021,283,AG-6,Agripina,pink salmon,4,,,,
7/4/2022,7,4,2022,381,AG-1,Agripina,pink salmon,8,,,,
7/4/2022,7,4,2022,382,AG-2,Agripina,pink salmon,7,,,,
7/4/2022,7,4,2022,383,AG-4,Agripina,pink salmon,98,,,,
7/4/2022,7,4,2022,384,AG-3,Agripina,pink salmon,1,,,,
7/4/2022,7,4,2022,385,AG-5,Agripina,pink salmon,50,,,,
7/4/2022,7,4,2022,386,AG-6,Agripina,pink salmon,2,,,,
7/7/2023,7,1,2023,488,AG-1,Agripina,pink salmon,0,,,,
7/7/2023,7,1,2023,489,AG-2,Agripina,pink salmon,2,,,,
7/7/2023,7,1,2023,490,AG-5,Agripina,pink salmon,0,,,,
7/7/2023,7,1,2023,491,AG-3,Agripina,pink salmon,0,,,,
7/7/2023,7,1,2023,492,AG-4,Agripina,pink salmon,0,,,,
7/7/2023,7,1,2023,493,AG-6,Agripina,pink salmon,0,,,,
7/9/2024,7,9,2024,561,AG-1,Agripina,pink salmon,1,,,,
7/9/2024,7,9,2024,562,AG-2,Agripina,pink salmon,0,,,,
7/9/2024,7,9,2024,563,AG-5,Agripina,pink salmon,0,,,,
7/9/2024,7,9,2024,564,AG-3,Agripina,pink salmon,0,,,,
7/9/2024,7,9,2024,565,AG-4,Agripina,pink salmon,0,,,,
7/9/2024,7,9,2024,566,AG-6,Agripina,pink salmon,1,,,,
7/15/2023,7,15,2023,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
7/15/2023,7,15,2023,NA,Cobble point,Anton Larsen,pink salmon,1,,,,
7/15/2023,7,15,2023,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
7/15/2023,7,15,2023,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
7/15/2023,7,15,2023,NA,Laminaria #2,Anton Larsen,pink salmon,12,,,,
7/15/2023,7,15,2023,NA,Laminaria Point,Anton Larsen,pink salmon,1,,,,
7/15/2023,7,15,2023,NA,White rock,Anton Larsen,pink salmon,2,,,,
7/15/2023,7,15,2023,NA,Wooden boat,Anton Larsen,pink salmon,20,,,,
7/17/2023,7,17,2023,NA,Back Bay eelgrass,Anton Larsen,pink salmon,1,,,,
7/17/2023,7,17,2023,NA,Cobble point,Anton Larsen,pink salmon,2,,,,
7/17/2023,7,17,2023,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
7/17/2023,7,17,2023,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
7/17/2023,7,17,2023,NA,Laminaria #2,Anton Larsen,pink salmon,106,,,,
7/17/2023,7,17,2023,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
7/17/2023,7,17,2023,NA,White rock,Anton Larsen,pink salmon,0,,,,
7/17/2023,7,17,2023,NA,Wooden boat,Anton Larsen,pink salmon,8,,,,
8/17/2023,8,17,2023,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
8/17/2023,8,17,2023,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/17/2023,8,17,2023,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
8/17/2023,8,17,2023,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
8/17/2023,8,17,2023,NA,Laminaria #2,Anton Larsen,pink salmon,15,,,,
8/17/2023,8,17,2023,NA,Laminaria Point,Anton Larsen,pink salmon,0,,,,
8/17/2023,8,17,2023,NA,White rock,Anton Larsen,pink salmon,0,,,,
8/17/2023,8,17,2023,NA,Wooden boat,Anton Larsen,pink salmon,0,,,,
8/18/2023,8,18,2023,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
8/18/2023,8,18,2023,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
8/18/2023,8,18,2023,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
8/18/2023,8,18,2023,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
8/18/2023,8,18,2023,NA,Laminaria #2,Anton Larsen,pink salmon,3,,,,
8/18/2023,8,18,2023,NA,Laminaria Point,Anton Larsen,pink salmon,4,,,,
8/18/2023,8,18,2023,NA,White rock,Anton Larsen,pink salmon,0,,,,
8/18/2023,8,18,2023,NA,Wooden boat,Anton Larsen,pink salmon,0,,,,
7/20/2024,7,20,2024,NA,Eelgrass patches,Anton Larsen,pink salmon,0,,,,
7/20/2024,7,20,2024,NA,Laminaria Point,Anton Larsen,pink salmon,5,,,,
7/20/2024,7,20,2024,NA,Eelgrass point,Anton Larsen,pink salmon,8,,,,
7/20/2024,7,20,2024,NA,Wooden boat,Anton Larsen,pink salmon,57,,,,
7/20/2024,7,20,2024,NA,laminaria #2,Anton Larsen,pink salmon,29,,,,
7/20/2024,7,20,2024,NA,Back Bay eelgrass,Anton Larsen,pink salmon,0,,,,
7/20/2024,7,20,2024,NA,Cobble point,Anton Larsen,pink salmon,0,,,,
7/20/2024,7,20,2024,NA,White rock,Anton Larsen,pink salmon,0,,,,
7/21/2024,7,21,2024,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
7/21/2024,7,21,2024,NA,Laminaria Point,Anton Larsen,pink salmon,71,,,,
7/21/2024,7,21,2024,NA,Eelgrass patches,Anton Larsen,pink salmon,1,,,,
7/21/2024,7,21,2024,NA,Wooden boat,Anton Larsen,pink salmon,18,,,,
7/21/2024,7,21,2024,NA,laminaria #2,Anton Larsen,pink salmon,22,,,,
7/21/2024,7,21,2024,NA,Back Bay eelgrass,Anton Larsen,pink salmon,5,,,,
7/21/2024,7,21,2024,NA,Cobble point,Anton Larsen,pink salmon,2,,,,
7/21/2024,7,21,2024,NA,White rock,Anton Larsen,pink salmon,0,,,,
8/18/2024,8,18,2024,NA,Eelgrass patches,Anton Larsen,pink salmon,1,,,,
8/18/2024,8,18,2024,NA,Laminaria Point,Anton Larsen,pink salmon,2,,,,
8/18/2024,8,18,2024,NA,Eelgrass point,Anton Larsen,pink salmon,0,,,,
